PERCY, CHARLES, 97 98, S, IL, M
MICHEL, ROBERT, 97 98 99 100 101 102 103, H, IL, M
ONEILL, THOMAS, 97 98 99, H, MA, M
WHITTEN, JAMIE, 97 98 99 100 101 102 103, H, MS, M
KEMP, JACK, 97 98 99 100, H, NY, M
WRIGHT, JAMES, 97 98 99 100 101, H, TX, M
LOTT, TRENT, 97 98 99 100 101 102 103 104 105 106 107 108 109 110, H, MS, M
QUILLEN, JAMES, 97 98 99 100 101 102 103 104, H, TN, M
FENWICK, MILLICENT, 97, H, NJ, F
MOORE, WILLIAM, 97 98 99, H, LA, M
WALKER, ROBERT, 97 98 99 100 101 102 103 104, H, PA, M
ROUSSELOT, JOHN, 97, H, CA, M
CONABLE, BARBER, 97 98, H, NY, M
LATTA, DELBERT, 97 98 99 100, H, OH, M
FRENZEL, WILLIAM, 97 98 99 100 101, H, MN, M
GAYDOS, JOSEPH, 97 98 99 100 101 102, H, PA, M
DOUGHERTY, CHARLES, 97, H, PA, M
SENSENBRENNER, F., 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114, H, WI, M
GONZALEZ, HENRY, 97 98 99 100 101 102 103 104 105, H, TX, M
DINGELL, JOHN, 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113, H, MI, M
BINGHAM, JONATHAN, 97, H, NY, M
HUBBARD, CARROLL, 97 98 99 100 101 102, H, KY, M
DYMALLY, MERVYN, 97 98 99 100 101 102, H, CA, M
COHEN, WILLIAM, 97 98 99 100 101 102 103 104, S, ME, M
HAYAKAWA, SAMUEL, 97, S, CA, M
BIDEN, JOSEPH, 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111, S, DE, M
RANDOLPH, JENNINGS, 97 98, S, WV, M
CANNON, HOWARD, 97, S, NV, M
WALLOP, MALCOLM, 97 98 99 100 101 102 103, S, WY, M
HEFLIN, HOWELL, 97 98 99 100 101 102 103 104, S, AL, M
DOMENICI, PETE, 97 98 99 100 101 102 103 104 105 106 107 108 109 110, S, NM, M
CHILES, LAWTON, 97 98 99 100, S, FL, M
GLENN, JOHN, 97 98 99 100 101 102 103 104 105, S, OH, M
DICKINSON, WILLIAM, 97 98 99 100 101 102, H, AL, M
DANIELSON, GEORGE, 97, H, CA, M
PANETTA, LEON, 97 98 99 100 101 102 103, H, CA, M
BROOKS, JACK, 97 98 99 100 101 102 103, H, TX, M
MONTGOMERY, GILLESPIE, 97 98 99 100 101 102 103 104, H, MS, M
LEVITAS, ELLIOTT, 97 98, H, GA, M
SNYDER, MARION, 97 98 99, H, KY, M
MOLINARI, GUY, 97 98 99 100 101, H, NY, M
CONYERS, JOHN, 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114, H, MI, M
MCCLORY, ROBERT, 97, H, IL, M
HUNTER, DUNCAN, 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114, H, CA, M
CORCORAN, THOMAS, 97 98, H, IL, M
MOAKLEY, JOHN, 97 98 99 100 101 102 103 104 105 106 107, H, MA, M
STEVENS, TED, 97 98 99 100 101 102 103 104 105 106 107 108 109 110, S, AK, M
WASHINGTON, HAROLD, 97 98, H, IL, M
BOREN, DAVID, 97 98 99 100 101 102 103, S, OK, M
KENNEDY, EDWARD, 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111, S, MA, M
LEVIN, CARL, 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113, S, MI, M
METZENBAUM, HOWARD, 97 98 99 100 101 102 103, S, OH, M
JEPSEN, ROGER, 97 98, S, IA, M
INOUYE, DANIEL, 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112, S, HI, M
HATCH, ORRIN, 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114, S, UT, M
LAXALT, PAUL, 97 98 99, S, NV, M
TOWER, JOHN, 97 98, S, TX, M
DODD, CHRISTOPHER, 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111, S, CT, M
RHODES, JOHN, 97 100 101 102, H, AZ, M
NELLIGAN, JAMES, 97, H, PA, M
LEWIS, JERRY, 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112, H, CA, M
LUNGREN, DANIEL, 97 98 99 100 109 110 111 112, H, CA, M
WORTLEY, GEORGE, 97 98 99 100, H, NY, M
BONKER, DON, 97 98 99 100, H, WA, M
NEAL, STEPHEN, 97 98 99 100 101 102 103, H, NC, M
AUCOIN, LES, 97 98 99 100 101 102, H, OR, M
PEYSER, PETER, 97, H, NY, M
GLICKMAN, DANIEL, 97 98 99 100 101 102 103, H, KS, M
ADDABBO, JOSEPH, 97 98 99, H, NY, M
SUNIA, FOFO, 97 98 99 100, H, AS, M
BROOMFIELD, WILLIAM, 97 98 99 100 101 102, H, MI, M
CARMAN, GREGORY, 97, H, NY, M
FOWLER, WYCHE, 97 98 99 100 101 102, H, GA, M
CORRADA-DEL RIO, BALTASAR, 97 98, H, PR, M
OTTINGER, RICHARD, 97 98, H, NY, M
ZABLOCKI, CLEMENT, 97 98, H, WI, M
PRICE, CHARLES, 97 98 99 100, H, IL, M
PROXMIRE, WILLIAM, 97 98 99 100, S, WI, M
QUAYLE, JAMES, 97 98 99 100 101, S, IN, M
HOLLINGS, ERNEST, 97 98 99 100 101 102 103 104 105 106 107 108, S, SC, M
SCHMITT, HARRISON, 97, S, NM, M
STENNIS, JOHN, 97 98 99 100, S, MS, M
EXON, J., 97 98 99 100 101 102 103 104, S, NE, M
PELL, CLAIBORNE, 97 98 99 100 101 102 103 104, S, RI, M
MELCHER, JOHN, 97 98 99 100, S, MT, M
MOYNIHAN, DANIEL, 97 98 99 100 101 102 103 104 105 106, S, NY, M
PACKWOOD, ROBERT, 97 98 99 100 101 102 103 104, S, OR, M
TSONGAS, PAUL, 97 98, S, MA, M
SARBANES, PAUL, 97 98 99 100 101 102 103 104 105 106 107 108 109, S, MD, M
WEICKER, LOWELL, 97 98 99 100, S, CT, M
HART, GARY, 97 98 99, S, CO, M
SPECTER, ARLEN, 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111, S, PA, M
ABDNOR, JAMES, 97 98 99, S, SD, M
BAUCUS, MAX, 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113, S, MT, M
DANNEMEYER, WILLIAM, 97 98 99 100 101 102, H, CA, M
SIMON, PAUL, 97 98 99 100 101 102 103 104, H, IL, M
ANNUNZIO, FRANK, 97 98 99 100 101 102, H, IL, M
MOTTL, RONALD, 97, H, OH, M
GORE, ALBERT, 97 98 99 100 101 102 103, H, TN, M
SHANNON, JAMES, 97 98, H, MA, M
FASCELL, DANTE, 97 98 99 100 101 102, H, FL, M
LOWRY, MICHAEL, 97 98 99 100, H, WA, M
SOLOMON, GERALD, 97 98 99 100 101 102 103 104 105, H, NY, M
HYDE, HENRY, 97 98 99 100 101 102 103 104 105 106 107 108 109, H, IL, M
HARTNETT, THOMAS, 97 98 99, H, SC, M
DORNAN, ROBERT, 97 99 100 101 102 103 104, H, CA, M
FOLEY, THOMAS, 97 98 99 100 101 102 103, H, WA, M
SOLARZ, STEPHEN, 97 98 99 100 101 102, H, NY, M
ERTEL, ALLEN, 97, H, PA, M
WYLIE, CHALMERS, 97 98 99 100 101 102, H, OH, M
HAMMERSCHMIDT, JOHN, 97 98 99 100 101 102, H, AR, M
COUGHLIN, ROBERT, 97 98 99 100 101 102, H, PA, M
LUJAN, MANUEL, 97 98 99 100, H, NM, M
RAHALL, NICK, 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113, H, WV, M
FINDLEY, PAUL, 97, H, IL, M
TAUKE, THOMAS, 97 98 99 100 101, H, IA, M
DERWINSKI, EDWARD, 97, H, IL, M
MCHUGH, MATTHEW, 97 98 99 100 101 102, H, NY, M
FOUNTAIN, LAWRENCE, 97, H, NC, M
HAMILTON, LEE, 97 98 99 100 101 102 103 104 105, H, IN, M
PEPPER, CLAUDE, 97 98 99 100 101, H, FL, M
STRATTON, SAMUEL, 97 98 99 100, H, NY, M
LEAHY, PATRICK, 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114, S, VT, M
COCHRAN, THAD, 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114, S, MS, M
GARN, EDWIN, 97 98 99 100 101 102, S, UT, M
SIMPSON, ALAN, 97 98 99 100 101 102 103 104, S, WY, M
EAST, JOHN, 97 98 99, S, NC, M
KASSEBAUM, NANCY, 97 98 99 100 101 102 103 104, S, KS, F
NICKLES, DON, 97 98 99 100 101 102 103 104 105 106 107 108, S, OK, M
EAGLETON, THOMAS, 97 98 99, S, MO, M
GRASSLEY, CHARLES, 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114, S, IA, M
DAMATO, ALFONSE, 97 98 99 100 101 102 103 104 105, S, NY, M
PICKLE, JAMES, 97 98 99 100 101 102 103, H, TX, M
GRAMM, PHIL, 97 98 99 100 101 102 103 104 105 106 107, H, TX, M
DENARDIS, LAWRENCE, 97, H, CT, M
OBERSTAR, JAMES, 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111, H, MN, M
NATCHER, WILLIAM, 97 98 99 100 101 102 103, H, KY, M
BOLAND, EDWARD, 97 98 99 100, H, MA, M
FUQUA, DON, 97 98 99, H, FL, M
RUDD, ELDON, 97 98 99, H, AZ, M
NICHOLS, WILLIAM, 97 98 99 100, H, AL, M
BARNARD, DRUIE, 97 98 99 100 101 102, H, GA, M
SNOWE, OLYMPIA, 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112, H, ME, F
DAVIS, ROBERT, 97 98 99 100 101 102, H, MI, M
CAMPBELL, CARROLL, 97 98 99, H, SC, M
PARRIS, STANFORD, 97 98 99 100 101, H, VA, M
DE LUGO, RON, 97 98 99 100 101 102 103, H, VI, M
BIAGGI, MARIO, 97 98 99 100, H, NY, M
PEASE, DONALD, 97 98 99 100 101 102, H, OH, M
WON PAT, ANTONIO, 97 98, H, GU, M
GILMAN, BENJAMIN, 97 98 99 100 101 102 103 104 105 106 107, H, NY, M
HOLLENBECK, HAROLD, 97, H, NJ, M
YATRON, GUS, 97 98 99 100 101 102, H, PA, M
HUGHES, WILLIAM, 97 98 99 100 101 102 103, H, NJ, M
HOLT, MARJORIE, 97 98 99, H, MD, F
CLAUSEN, DONALD, 97, H, CA, M
GUARINI, FRANK, 97 98 99 100 101 102, H, NJ, M
HAGEDORN, THOMAS, 97, H, MN, M
MCDADE, JOSEPH, 97 98 99 100 101 102 103 104 105, H, PA, M
GREEN, SEDGWICK, 97 98 99 100 101 102, H, NY, M
BENEDICT, CLEVELAND, 97, H, WV, M
GUYER, TENNYSON, 97, H, OH, M
MATTINGLY, MACK, 97 98 99, S, GA, M
STOCKMAN, DAVID, 97, H, MI, M
ZORINSKY, EDWARD, 97 98 99 100, S, NE, M
PETRI, THOMAS, 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113, H, WI, M
JEFFORDS, JAMES, 97 98 99 100 101 102 103 104 105 106 107 108 109, H, VT, M
RATCHFORD, WILLIAM, 97 98, H, CT, M
DONNELLY, BRIAN, 97 98 99 100 101 102, H, MA, M
FOGLIETTA, THOMAS, 97 98 99 100 101 102 103 104 105, H, PA, M
VENTO, BRUCE, 97 98 99 100 101 102 103 104 105 106, H, MN, M
FIEDLER, BOBBI, 97 98 99, H, CA, F
STANGELAND, ARLAN, 97 98 99 100 101, H, MN, M
REGULA, RALPH, 97 98 99 100 101 102 103 104 105 106 107 108 109 110, H, OH, M
WEISS, THEODORE, 97 98 99 100 101 102, H, NY, M
FISH, HAMILTON, 97 98 99 100 101 102 103, H, NY, M
MINETA, NORMAN, 97 98 99 100 101 102 103 104, H, CA, M
ROE, ROBERT, 97 98 99 100 101 102, H, NJ, M
BOLLING, RICHARD, 97, H, MO, M
BOWEN, DAVID, 97, H, MS, M
HIGHTOWER, JACK, 97 98, H, TX, M
HANCE, KENT, 97 98, H, TX, M
WILSON, CHARLES, 97 98 99 100 101 102 103 104 110 111, H, TX, M
CHAPPELL, WILLIAM, 97 98 99 100, H, FL, M
DE LA GARZA, ELIGIO, 97 98 99 100 101 102 103 104, H, TX, M
PERKINS, CARL, 97 99 100 101 102, H, KY, M
RODINO, PETER, 97 98 99 100, H, NJ, M
SAWYER, HAROLD, 97 98, H, MI, M
BEDELL, BERKLEY, 97 98 99, H, IA, M
ROSTENKOWSKI, DANIEL, 97 98 99 100 101 102 103, H, IL, M
HEFNER, WILLIE, 97 98 99 100 101 102 103 104 105, H, NC, M
NOWAK, HENRY, 97 98 99 100 101 102, H, NY, M
GORTON, T., 97 98 99 101 102 103 104 105 106, S, WA, M
WAXMAN, HENRY, 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113, H, CA, M
MCCLOSKEY, PAUL, 97, H, CA, M
ECKART, DENNIS, 97 98 99 100 101 102, H, OH, M
DYSON, ROYDEN, 97 98 99 100 101, H, MD, M
ANDERSON, GLENN, 97 98 99 100 101 102, H, CA, M
OAKAR, MARY, 97 98 99 100 101 102, H, OH, F
ALEXANDER, WILLIAM, 97 98 99 100 101 102, H, AR, M
BLILEY, TOM, 97 98 99 100 101 102 103 104 105 106, H, VA, M
STUMP, ROBERT, 97 98 99 100 101 102 103 104 105 106 107, H, AZ, M
WIRTH, TIMOTHY, 97 98 99 100 101 102, H, CO, M
DREIER, DAVID, 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112, H, CA, M
DUNN, JAMES, 97, H, MI, M
RITTER, DONALD, 97 98 99 100 101 102, H, PA, M
SHUMWAY, NORMAN, 97 98 99 100 101, H, CA, M
LAGOMARSINO, ROBERT, 97 98 99 100 101 102, H, CA, M
MOFFETT, ANTHONY, 97, H, CT, M
BRODHEAD, WILLIAM, 97, H, MI, M
FAUNTROY, WALTER, 97 98 99 100 101, H, DC, M
LEBOUTILLIER, JOHN, 97, H, NY, M
LEHMAN, WILLIAM, 97 98 99 100 101 102, H, FL, M
DAUB, HAROLD, 97 98 99 100, H, NE, M
MCGRATH, RAYMOND, 97 98 99 100 101 102, H, NY, M
LENT, NORMAN, 97 98 99 100 101 102, H, NY, M
BARNES, MICHAEL, 97 98 99, H, MD, M
LANTOS, TOM, 97 98 99 100 101 102 103 104 105 106 107 108 109 110, H, CA, M
REUSS, HENRY, 97, H, WI, M
SCHEUER, JAMES, 97 98 99 100 101 102, H, NY, M
ROSENTHAL, BENJAMIN, 97, H, NY, M
STOKES, LOUIS, 97 98 99 100 101 102 103 104 105, H, OH, M
SCHUMER, CHARLES, 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114, H, NY, M
JACOBS, ANDREW, 97 98 99 100 101 102 103 104, H, IN, M
HERTEL, DENNIS, 97 98 99 100 101 102, H, MI, M
DWYER, BERNARD, 97 98 99 100 101 102, H, NJ, M
HORTON, FRANK, 97 98 99 100 101 102, H, NY, M
GRADISON, WILLIS, 97 98 99 100 101 102 103, H, OH, M
BLANCHARD, JAMES, 97, H, MI, M
DASCHLE, THOMAS, 97 98 99 100 101 102 103 104 105 106 107 108, H, SD, M
FITHIAN, FLOYD, 97, H, IN, M
ERLENBORN, JOHN, 97 98, H, IL, M
YATES, SIDNEY, 97 98 99 100 101 102 103 104 105, H, IL, M
OBRIEN, GEORGE, 97 98 99, H, IL, M
UDALL, MORRIS, 97 98 99 100 101 102, H, AZ, M
LAFALCE, JOHN, 97 98 99 100 101 102 103 104 105 106 107, H, NY, M
WOLF, FRANK, 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113, H, VA, M
MIKULSKI, BARBARA, 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114, H, MD, F
FERRARO, GERALDINE, 97 98, H, NY, F
DORGAN, BYRON, 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111, H, ND, M
BOSCHWITZ, RUDOLPH, 97 98 99 100 101, S, MN, M
SYMMS, STEVEN, 97 98 99 100 101 102, S, ID, M
MAVROULES, NICHOLAS, 97 98 99 100 101 102, H, MA, M
ROEMER, CHARLES, 97 98 99 100, H, LA, M
COATS, DANIEL, 97 98 99 100 101 102 103 104 105 112 113 114, H, IN, M
HUCKABY, THOMAS, 97 98 99 100 101 102, H, LA, M
SHUSTER, ELMER, 97 98 99 100 101 102 103 104 105 106, H, PA, M
JENKINS, EDGAR, 97 98 99 100 101 102, H, GA, M
NAPIER, JOHN, 97, H, SC, M
GEPHARDT, RICHARD, 97 98 99 100 101 102 103 104 105 106 107 108, H, MO, M
CONTE, SILVIO, 97 98 99 100 101 102, H, MA, M
MARRIOTT, DAVID, 97 98, H, UT, M
LELAND, GEORGE, 97 98 99 100 101, H, TX, M
SHELBY, RICHARD, 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114, H, AL, M
DOWNEY, THOMAS, 97 98 99 100 101 102, H, NY, M
PATMAN, WILLIAM, 97 98, H, TX, M
WEAVER, JAMES, 97 98 99, H, OR, M
WYDEN, RON, 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114, H, OR, M
BEILENSON, ANTHONY, 97 98 99 100 101 102 103 104, H, CA, M
MATSUI, ROBERT, 97 98 99 100 101 102 103 104 105 106 107 108, H, CA, M
PORTER, JOHN, 97 98 99 100 101 102 103 104 105 106, H, IL, M
MURKOWSKI, FRANK, 97 98 99 100 101 102 103 104 105 106 107, S, AK, M
GEJDENSON, SAM, 97 98 99 100 101 102 103 104 105 106, H, CT, M
BEREUTER, DOUGLAS, 97 98 99 100 101 102 103 104 105 106 107 108, H, NE, M
COELHO, ANTHONY, 97 98 99 100 101, H, CA, M
SEIBERLING, JOHN, 97 98 99, H, OH, M
KAZEN, ABRAHAM, 97 98, H, TX, M
ZEFERETTI, LEO, 97, H, NY, M
OBEY, DAVID, 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111, H, WI, M
SCHULZE, RICHARD, 97 98 99 100 101 102, H, PA, M
THOMAS, WILLIAM, 97 98 99 100 101 102 103 104 105 106 107 108 109, H, CA, M
COTTER, WILLIAM, 97, H, CT, M
MINISH, JOSEPH, 97 98, H, NJ, M
ST. GERMAIN, FERNAND, 97 98 99 100, H, RI, M
EMERSON, NORVELL, 97 98 99 100 101 102 103 104, H, MO, M
SCHROEDER, PATRICIA, 97 98 99 100 101 102 103 104, H, CO, F
DICKS, NORMAN, 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112, H, WA, M
HOWARD, JAMES, 97 98 99 100, H, NJ, M
FORSYTHE, EDWIN, 97 98, H, NJ, M
CLINGER, WILLIAM, 97 98 99 100 101 102 103 104, H, PA, M
MARKS, MARC, 97, H, PA, M
RUSSO, MARTIN, 97 98 99 100 101 102, H, IL, M
LEE, GARY, 97, H, NY, M
JEFFRIES, JAMES, 97, H, KS, M
FLORIO, JAMES, 97 98 99 100 101, H, NJ, M
BENJAMIN, ADAM, 97, H, IN, M
FARY, JOHN, 97, H, IL, M
HILLIS, ELWOOD, 97 98 99, H, IN, M
ERDAHL, ARLEN, 97, H, MN, M
BEVILL, TOM, 97 98 99 100 101 102 103 104, H, AL, M
MATTOX, JAMES, 97, H, TX, M
VOLKMER, HAROLD, 97 98 99 100 101 102 103 104, H, MO, M
LEATH, JAMES, 97 98 99 100 101, H, TX, M
ENGLISH, GLENN, 97 98 99 100 101 102 103, H, OK, M
LUNDINE, STANLEY, 97 98 99, H, NY, M
STANTON, JOHN, 97, H, OH, M
DELLUMS, RONALD, 97 98 99 100 101 102 103 104 105, H, CA, M
ARCHER, BILL, 97 98 99 100 101 102 103 104 105 106, H, TX, M
BAFALIS, LOUIS, 97, H, FL, M
PASHAYAN, CHARLES, 97 98 99 100 101, H, CA, M
RANGEL, CHARLES, 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114, H, NY, M
CHISHOLM, SHIRLEY, 97, H, NY, F
CARNEY, WILLIAM, 97 98 99, H, NY, M
MOORHEAD, CARLOS, 97 98 99 100 101 102 103 104, H, CA, M
GARCIA, ROBERT, 97 98 99 100 101, H, NY, M
PAUL, RONALD, 97 98 105 106 107 108 109 110 111 112, H, TX, M
LEACH, JAMES, 97 98 99 100 101 102 103 104 105 106 107 108 109, H, IA, M
GINGRICH, NEWTON, 97 98 99 100 101 102 103 104 105, H, GA, M
BEARD, ROBIN, 97, H, TN, M
RAILSBACK, THOMAS, 97, H, IL, M
MAZZOLI, ROMANO, 97 98 99 100 101 102 103, H, KY, M
STARK, FORTNEY, 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112, H, CA, M
SHAW, E., 97 98 99 100 101 102 103 104 105 106 107 108 109, H, FL, M
SCHNEIDER, CLAUDINE, 97 98 99 100 101, H, RI, F
AKAKA, DANIEL, 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112, H, HI, M
WATKINS, WES, 97 98 99 100 101 105 106 107, H, OK, M
SHAMANSKY, ROBERT, 97, H, OH, M
SAVAGE, GUS, 97 98 99 100 101 102, H, IL, M
STUDDS, GERRY, 97 98 99 100 101 102 103 104, H, MA, M
WALGREN, DOUGLAS, 97 98 99 100 101, H, PA, M
GUNDERSON, STEVEN, 97 98 99 100 101 102 103 104, H, WI, M
PURSELL, CARL, 97 98 99 100 101 102, H, MI, M
ROGERS, HAROLD, 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114, H, KY, M
ROUKEMA, MARGE, 97 98 99 100 101 102 103 104 105 106 107, H, NJ, F
MCDONALD, LAWRENCE, 97 98, H, GA, M
BROYHILL, JAMES, 97 98 99, H, NC, M
STATON, DAVID, 97, H, WV, M
GIBBONS, SAM, 97 98 99 100 101 102 103 104, H, FL, M
BOGGS, CORINNE, 97 98 99 100 101, H, LA, F
HEFTEL, CECIL, 97 98 99, H, HI, M
BYRON, BEVERLY, 97 98 99 100 101 102, H, MD, F
ALBOSTA, DONALD, 97 98, H, MI, M
HECKLER, MARGARET, 97, H, MA, F
GRAY, WILLIAM, 97 98 99 100 101 102, H, PA, M
MCCOLLUM, BILL, 97 98 99 100 101 102 103 104 105 106, H, FL, M
FROST, JONAS, 97 98 99 100 101 102 103 104 105 106 107 108, H, TX, M
SPENCE, FLOYD, 97 98 99 100 101 102 103 104 105 106 107, H, SC, M
SHARP, PHILIP, 97 98 99 100 101 102 103, H, IN, M
ROSE, CHARLES, 97 98 99 100 101 102 103 104, H, NC, M
STENHOLM, CHARLES, 97 98 99 100 101 102 103 104 105 106 107 108, H, TX, M
SKEEN, JOSEPH, 97 98 99 100 101 102 103 104 105 106 107, H, NM, M
MORRISON, SIDNEY, 97 98 99 100 101 102, H, WA, M
MICA, DANIEL, 97 98 99 100, H, FL, M
SYNAR, MICHAEL, 97 98 99 100 101 102 103, H, OK, M
CRAIG, LARRY, 97 98 99 100 101 102 103 104 105 106 107 108 109 110, H, ID, M
LOWERY, WILLIAM, 97 98 99 100 101 102, H, CA, M
BONIOR, DAVID, 97 98 99 100 101 102 103 104 105 106 107, H, MI, M
CROCKETT, GEORGE, 97 98 99 100 101, H, MI, M
FLIPPO, RONNIE, 97 98 99 100 101, H, AL, M
LOEFFLER, THOMAS, 97 98 99, H, TX, M
RICHMOND, FREDERICK, 97, H, NY, M
FRANK, BARNEY, 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112, H, MA, M
HARKIN, THOMAS, 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113, H, IA, M
WOLPE, HOWARD, 97 98 99 100 101 102, H, MI, M
HUMPHREY, GORDON, 97 98 99 100 101, S, NH, M
FIELDS, JACK, 97 98 99 100 101 102 103 104, H, TX, M
KASTEN, ROBERT, 97 98 99 100 101 102, S, WI, M
MARKEY, EDWARD, 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114, H, MA, M
PATTERSON, JERRY, 97 98, H, CA, M
KRAMER, KENNETH, 97 98 99, H, CO, M
EDGAR, ROBERT, 97 98 99, H, PA, M
CLAY, WILLIAM, 97 98 99 100 101 102 103 104 105 106, H, MO, M
DAMOURS, NORMAN, 97 98, H, NH, M
IRELAND, ANDREW, 97 98 99 100 101 102, H, FL, M
PRITCHARD, JOEL, 97 98, H, WA, M
SKELTON, IKE, 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111, H, MO, M
DENTON, JEREMIAH, 97 98 99, S, AL, M
BADHAM, ROBERT, 97 98 99 100, H, CA, M
BUTLER, MANLEY, 97, H, VA, M
MCKINNEY, STEWART, 97 98 99 100, H, CT, M
KASTENMEIER, ROBERT, 97 98 99 100 101, H, WI, M
GOODLING, WILLIAM, 97 98 99 100 101 102 103 104 105 106, H, PA, M
COURTER, JAMES, 97 98 99 100 101, H, NJ, M
WAMPLER, WILLIAM, 97, H, VA, M
CHAPPIE, EUGENE, 97 98 99, H, CA, M
BURGENER, CLAIR, 97, H, CA, M
SWIFT, ALLAN, 97 98 99 100 101 102 103, H, WA, M
BONER, WILLIAM, 97 98 99 100, H, TN, M
MCEWEN, BOB, 97 98 99 100 101 102, H, OH, M
MURTHA, JOHN, 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111, H, PA, M
WINN, EDWARD, 97 98, H, KS, M
SANTINI, JAMES, 97, H, NV, M
KILDEE, DALE, 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112, H, MI, M
LUKEN, THOMAS, 97 98 99 100 101, H, OH, M
RINALDO, MATTHEW, 97 98 99 100 101 102, H, NJ, M
ASPIN, LESLIE, 97 98 99 100 101 102 103, H, WI, M
TRAXLER, JEROME, 97 98 99 100 101 102, H, MI, M
RUDMAN, WARREN, 97 98 99 100 101 102, S, NH, M
HOLLAND, KENNETH, 97, H, SC, M
BETHUNE, EDWIN, 97 98, H, AR, M
