GUINTA, FRANK C.	G000570
TATE, RANDY	T000048
PLATTS, TODD RUSSELL	P000585
ENSIGN, JOHN	E000194
CUMMINGS, ELIJAH E.	C000984
EMANUEL, RAHM	E000287
DAVIS, JO ANN	D000597
SHIMKUS, JOHN	S000364
SHELBY, RICHARD C.	S000320
DELANEY, JOHN K.	D000620
CRUZ, TED	C001098
TIERNEY, JOHN F.	T000266
FLIPPO, RONNIE G.	F000208
CASTOR, KATHY	C001066
LONG, GILLIS W.	L000417
CALVERT, KEN	C000059
JOHNSON, EDDIE BERNICE	J000126
PEARCE, STEVAN	P000588
TALLON, ROBERT M. (ROBIN)	T000034
ESTY, ELIZABETH H.	E000293
BARCA, PETER	B001226
MCNULTY, JAMES F., JR.	M000589
FASCELL, DANTE B.	F000041
BLUMENAUER, EARL	B000574
ERLENBORN, JOHN N.	E000204
VALADAO, DAVID G.	V000129
GRIMM, MICHAEL G.	G000569
CRAIG, LARRY E.	C000858
KOLBE, JIM	K000306
DAVIS, RODNEY	D000619
SHAMANSKY, BOB	S000282
LONGLEY, JAMES B., JR.	L000431
FRISA, DAN	F000387
JOHNSON, NANCY L.	J000163
APPLEGATE, DOUGLAS	A000214
GARDNER, CORY	G000562
HAGEDORN, THOMAS M.	H000012
YOUNG, ROBERT A.	Y000051
SANDERS, BERNARD	S000033
JACKSON, HENRY M.	J000013
CRENSHAW, ANDER	C001045
KAPTUR, MARCY	K000009
WEICKER, LOWELL P., JR.	W000253
PALMER, GARY J.	P000609
MAVROULES, NICHOLAS	M000264
DAUB, HAL	D000065
CAPITO, SHELLEY MOORE	C001047
NICHOLS, DICK	N000094
THUNE, JOHN	T000250
ACKERMAN, GARY L.	A000022
ENGLISH, PHIL	E000187
MENG, GRACE	M001188
HURT, ROBERT	H001060
KERREY, J. ROBERT	K000146
REED, TOM	R000585
BAUCUS, MAX	B000243
GIBBS, BOB	G000563
COOK, MERRILL	C000722
BLUM, ROD	B001294
PORTER, JOHN EDWARD	P000444
EVANS, THOMAS B., JR.	E000258
FLAKE, FLOYD H.	F000184
SCHOCK, AARON	S001179
VANDER JAGT, GUY	V000027
GRIJALVA, RAUL M.	G000551
HUDSON, RICHARD	H001067
SPELLMAN, GLADYS NOON	S000716
DUNCAN, JOHN J.	D000534
SCHNEIDER, BRADLEY SCOTT	S001190
SAWYER, TOM	S000094
THOMAS, WILLIAM M.	T000188
WALDON, ALTON R., JR.	W000038
SUNDQUIST, DON	S001075
BARTON, JOE	B000213
WARREN, ELIZABETH	W000817
LYNCH, STEPHEN F.	L000562
LOWERY, BILL	L000479
SCHROEDER, PATRICIA	S000142
FUDGE, MARCIA L.	F000455
REICHERT, DAVID G.	R000578
BAKER, HOWARD H., JR.	B000063
ZORINSKY, EDWARD	Z000013
FORD, WILLIAM D.	F000270
WASHINGTON, HAROLD	W000180
BALDACCI, JOHN ELIAS	B000081
PASTOR, ED	P000099
LUKEN, CHARLES	L000507
COLLINS, DOUG	C001093
ROWLAND, J. ROY	R000481
DINGELL, JOHN D.	D000355
MCCARTHY, KAREN	M000316
CHRYSLER, DICK	C000385
KING, PETER T.	K000210
AMASH, JUSTIN	A000367
BENNETT, CHARLES E.	B000371
HUMPHREY, GORDON J.	H000951
FIELDS, CLEO	F000110
DAVIS, LINCOLN	D000599
FLEMING, JOHN	F000456
DICKINSON, WILLIAM L.	D000326
MCCAIN, JOHN	M000303
CONTE, SILVIO O.	C000709
PETERS, GARY C.	P000595
GILCHREST, WAYNE T.	G000180
BATEMAN, HERBERT H.	B000229
BOST, MIKE	B001295
COSTELLO, RYAN A.	C001106
SPRATT, JOHN M., JR.	S000749
CLEMENT, BOB	C000503
PARRIS, STANFORD E. (STAN)	P000080
REYNOLDS, THOMAS M.	R000569
CHAMBLISS, SAXBY	C000286
BUCK, KEN	B001297
SMITH, JASON	S001195
JENKINS, LYNN	J000290
KEMP, JACK	K000086
PERDUE, DAVID	P000612
SHUSTER, BILL	S001154
DAINES, STEVE	D000618
ADERHOLT, ROBERT B.	A000055
ROEMER, BUDDY	R000384
ABERCROMBIE, NEIL	A000014
LUJAN, BEN RAY	L000570
GINN, BO	G000226
CAMPBELL, CARROLL A., JR.	C000079
GEJDENSON, SAM	G000120
HUIZENGA, BILL	H001058
FOLEY, THOMAS S.	F000239
LEVY, DAVID A.	L000267
LATTA, DELBERT L.	L000116
HALL, KATIE	H000058
SCHAFFER, BOB	S000112
LAWRENCE, BRENDA L.	L000581
CANSECO, FRANCISCO "QUICO"	C001082
WEST, ALLEN B.	W000807
FINDLEY, PAUL	F000123
HECHT, CHIC	H000439
KEMPTHORNE, DIRK	K000088
SIRES, ALBIO	S001165
MEADOWS, MARK	M001187
FRIST, WILLIAM H.	F000439
HOEKSTRA, PETER	H000676
WATT, MELVIN L.	W000207
HOEFFEL, JOSEPH M.	H001031
LATTA, ROBERT E.	L000566
MCCOLLUM, BETTY	M001143
BLACKWELL, LUCIEN E.	B000517
DENHAM, JEFF	D000612
NORTHUP, ANNE M.	N000143
PELOSI, NANCY	P000197
HAGAN, KAY R.	H001049
MITCHELL, DONALD J.	M000808
DUFFY, SEAN P.	D000614
IRELAND, ANDREW P.	I000029
LAFALCE, JOHN J.	L000556
JACOBS, ANDREW, JR.	J000033
HILLIARD, EARL F.	H000621
ROONEY, THOMAS J.	R000583
GIFFORDS, GABRIELLE	G000554
HARE, PHIL	H001040
SPACE, ZACHARY T.	S001173
PATTERSON, ELIZABETH	P000112
WARNER, JOHN	W000154
SMITH, JOSEPH F.	S000579
MOAKLEY, JOHN JOSEPH	M000834
FARY, JOHN G.	F000040
BINGAMAN, JEFF	B000468
TIBERI, PATRICK J.	T000462
GRIFFIN, TIM	G000567
BENEDICT, CLEVE	B000358
HERRERA BEUTLER, JAIME	H001056
RHODES, JOHN J., III	R000189
GALLO, DEAN A.	G000025
BONO MACK, MARY	B001228
RADEWAGEN, AUMUA AMATA COLEMAN	R000600
LOTT, TRENT	L000447
GLENN, JOHN H., JR.	G000236
STABENOW, DEBBIE	S000770
KELLY, MIKE	K000376
FAIRCLOTH, LAUCH	F000437
BAILEY, WENDELL	B000047
REDMOND, BILL	R000567
SUNIA, FOTO I. F.	S001077
ISSA, DARRELL E.	I000056
REED, JACK	R000122
ORTON, BILL	O000108
GUNDERSON, STEVE	G000524
CASSIDY, BILL	C001075
KENNEDY, EDWARD M.	K000105
ISAKSON, JOHNNY	I000055
MARLENEE, RON	M000139
ENGLISH, GLENN	E000184
GEREN, PETE	G000134
FORD, HAROLD E., JR.	F000262
EARLY, JOSEPH D.	E000013
ENGLISH, KARAN	E000186
PERLMUTTER, ED	P000593
MARTIN, DAVID O'B.	M000174
MAFFEI, DANIEL B.	M001171
CARMAN, GREGORY W.	C000158
CHAFFETZ, JASON	C001076
BYRNE, LESLIE L.	B001213
CLAWSON, CURT	C001102
HOPKINS, LARRY J.	H000776
WHITE, RICHARD C.	W000390
HART, MELISSA A.	H001033
BRENNAN, JOSEPH E.	B000798
MILLER, DAN	M000720
MOORHEAD, CARLOS J.	M000926
MATHESON, JIM	M001142
HOLT, MARJORIE S.	H000747
RISCH, JAMES E.	R000584
MORRISON, BRUCE A.	M000992
SMITH, ADRIAN	S001172
AKAKA, DANIEL K.	A000069
BECERRA, XAVIER	B000287
DELAURO, ROSA L.	D000216
ROEMER, TIM	R000385
COLEMAN, E. THOMAS	C000618
DURENBERGER, DAVE	D000566
PENCE, MIKE	P000587
BIAGGI, MARIO	B000432
DAVIS, JIM	D000114
HILER, JOHN PATRICK	H000586
NAGLE, DAVE R,	N000003
DUNN, JIM	D000548
AGUILAR, PETE	A000371
ALLEN, RICK W.	A000372
ZIMMER, DICK	Z000008
MILLENDER-MCDONALD, JUANITA	M000714
CLINGER, WILLIAM F., JR.	C000523
CHU, JUDY	C001080
ALBOSTA, DONALD J.	A000076
HAYWORTH, J. D.	H000413
EMERSON, JO ANN	E000172
LEE, GARY A.	L000192
WU, DAVID	W000793
RICE, KATHLEEN M.	R000602
RHODES, JOHN J.	R000188
HALL, TONY P.	H000074
JOHN, CHRISTOPHER	J000110
LUKENS, DONALD E.	L000509
NORTON, ELEANOR HOLMES	N000147
SCHIFF, ADAM B.	S001150
LANGEVIN, JAMES R.	L000559
FAZIO, VIC	F000053
RIEGLE, DONALD W., JR.	R000249
WEISS, TED	W000258
JOHNSTON, J. BENNETT	J000189
GRASSLEY, CHUCK	G000386
KENNEDY, JOSEPH P., III	K000379
EDWARDS, JACK	E000084
LEHMAN, WILLIAM	L000226
GOHMERT, LOUIE	G000552
STUPAK, BART	S001045
JAMES, CRAIG T.	J000047
WIRTH, TIMOTHY	W000647
ANDERSON, GLENN M.	A000189
FURSE, ELIZABETH	F000434
YOUNG, TODD C.	Y000064
CARTER, EARL L. "BUDDY"	C001103
WAMP, ZACH	W000119
GUTKNECHT, GIL	G000536
HULSHOF, KENNY C.	H000948
MACK, CONNIE, III	M000019
BUMPERS, DALE	B001057
CRAMER, KEVIN	C001096
MCCLOSKEY, FRANK	M000342
DOOLEY, CALVIN M.	D000424
MURRAY, PATTY	M001111
GRAYSON, ALAN	G000556
LUCAS, KEN	L000558
PERRY, SCOTT	P000605
EVANS, DANIEL J.	E000236
HENSARLING, JEB	H001036
ADDABBO, JOSEPH P.	A000052
CAPPS, LOIS	C001036
STOCKMAN, STEVE	S000937
BOXER, BARBARA	B000711
DOLE, ELIZABETH	D000601
SNOWBARGER, VINCE	S000662
BUSTAMANTE, ALBERT G.	B001172
HOLT, RUSH	H001032
FEIGHAN, EDWARD F.	F000059
BROWN, SHERROD	B000944
SMITH, CHRISTOPHER H.	S000522
MILLER, JEFF	M001144
WARD, MIKE	W000139
HOCHUL, KATHLEEN C.	H001062
BONAMICI, SUZANNE	B001278
CUNNINGHAM, RANDY (DUKE)	C000994
DODD, CHRISTOPHER J.	D000388
COHEN, STEVE	C001068
DANIEL, W. C. (DAN)	D000038
RICHARDSON, BILL	R000229
STRATTON, SAMUEL S.	S000997
EDGAR, ROBERT W.	E000043
SEYMOUR, JOHN	S000269
DICKS, NORMAN D.	D000327
MANN, DAVID	M000100
ANDREWS, MARK	A000208
WEBER, VIN	W000237
EAST, JOHN P.	E000017
BENTLEY, HELEN DELICH	B000392
ROSS, DENNIS A.	R000593
YOUNG, C. W. BILL	Y000031
EDWARDS, JOHN	E000286
WON PAT, ANTONIO B.	W000686
WAXMAN, HENRY A.	W000215
NUNN, SAM	N000171
STEFANIK, ELISE M.	S001196
UDALL, MORRIS K.	U000001
DELBENE, SUZAN K.	D000617
WALSH, JOE	W000811
KIM, JAY	K000181
DUNCAN, JOHN J., JR.	D000533
PAUL, RAND	P000603
HILLIS, ELWOOD H.	H000624
FOUNTAIN, L. H.	F000319
FLEISCHMANN, CHARLES J. "CHUCK"	F000459
EDWARDS, MICKEY	E000077
FITHIAN, FLOYD J.	F000161
WATSON COLEMAN, BONNIE	W000822
BELL, CHRIS	B001241
NELSON, BEN	N000180
HOLLENBECK, HAROLD C.	H000722
GOODE, VIRGIL H., JR.	G000280
VENTO, BRUCE F.	V000087
FORTENBERRY, JEFF	F000449
SCHULZE, RICHARD T.	S000146
INOUYE, DANIEL K.	I000025
GAYDOS, JOSEPH M.	G000105
KUHL, JOHN R. "RANDY", JR.	K000364
MCHUGH, JOHN M.	M000472
MCINTYRE, MIKE	M000485
RYAN, TIM	R000577
BASS, CHARLES F.	B000220
BOYLE, BRENDAN F.	B001296
MATHIAS, CHARLES MCC., JR.	M000241
NEUMANN, MARK W.	N000054
LEHMAN, RICHARD H.	L000225
KAUFMAN, EDWARD E.	K000373
DOWNEY, THOMAS J.	D000471
MARGOLIES-MEZVINSKY, MARJORIE	M000129
BRODHEAD, WILLIAM	B000862
COLLINS, BARBARA-ROSE	C000633
CLELAND, MAX	C001034
SULLIVAN, DAN 	S001198
LOEBSACK, DAVID	L000565
LANTOS, TOM	L000090
CHRISTENSEN, JON	C000377
FOSTER, BILL	F000454
MCKERNAN, JOHN R., JR.	M000512
FISH, HAMILTON, JR.	F000141
LEVIN, SANDER M.	L000263
DAVIS, DAVID	D000606
ELLISON, KEITH	E000288
WELDON, CURT	W000268
MACKAY, BUDDY	M000023
ECKART, DENNIS E.	E000031
WALKER, MARK	W000819
PALAZZO, STEVEN M.	P000601
SCHRADER, KURT	S001180
RAY, RICHARD B.	R000080
MARTIN, LYNN M.	M000195
FOWLER, TILLIE	F000328
GOLDWATER, BARRY	G000267
WILLIAMS, LYLE	W000528
KLUG, SCOTT L.	K000274
HELLER, DEAN	H001041
EAGLETON, THOMAS F.	E000004
FEINSTEIN, DIANNE	F000062
LANDRY, JEFFREY M.	L000574
DIXON, ALAN J.	D000366
WATERS, MAXINE	W000187
BOEHLERT, SHERWOOD	B000586
BISHOP, MIKE	B001293
KELLY, ROBIN L.	K000385
GRAVES, TOM	G000560
SWINDALL, PATRICK L.	S001122
LEWIS, JOHN	L000287
BROWN, GEORGE E., JR.	B000918
SMITH, LARKIN	S000584
NETHERCUTT, GEORGE R., JR.	N000051
RUDMAN, WARREN	R000497
OSE, DOUG	O000164
FIELDS, JACK	F000111
GINGRICH, NEWT	G000225
MERKLEY, JEFF	M001176
MCHENRY, PATRICK T.	M001156
HARMAN, JANE	H000213
UDALL, TOM	U000039
BILBRAY, JAMES H.	B000462
CHAFEE, JOHN H.	C000269
CHAPPELL, BILL, JR.	C000321
GORE, ALBERT, JR.	G000321
MURPHY, PATRICK J.	M001168
JOHNSTON, HARRY	J000187
EXON, J. JAMES	E000284
AUCOIN, LES	A000337
STIVERS, STEVE	S001187
OAKAR, MARY ROSE	O000001
PICKERING, CHARLES W. "CHIP"	P000323
BAKER, RICHARD H.	B000072
ZSCHAU, EDWIN V. W.	Z000014
THOMPSON, FRED	T000457
HARRISON, FRANK	H000269
MURKOWSKI, FRANK H.	M001085
MESSER, LUKE	M001189
HUTCHINSON, TIM	H001015
ERDREICH, BEN	E000201
SANTINI, JAMES D.	S000058
PAYNE, DONALD M., JR.	P000604
ADLER, JOHN H.	A000364
COLLINS, SUSAN M.	C001035
EHLERS, VERNON J.	E000092
OBERSTAR, JAMES L.	O000006
HAWKINS, PAULA	H000374
LAUGHLIN, GREG	L000119
DAHLKEMPER, KATHLEEN A.	D000608
YATES, SIDNEY R.	Y000013
WALSH, JAMES T.	W000099
RIGGS, FRANK	R000252
DAVIS, JACK	D000106
HUGHES, WILLIAM J.	H000930
JOHNSON, TIMOTHY V.	J000285
STRICKLAND, TED	S001004
LUJAN, MANUEL, JR.	L000506
ELLMERS, RENEE L.	E000291
BURTON, PHILLIP	B001156
SKEEN, JOE	S000463
O'BRIEN, GEORGE M.	O000010
SHARP, PHILIP R.	S000294
BOOZMAN, JOHN	B001236
RUIZ, RAUL	R000599
GONZALEZ, CHARLES A.	G000544
SOLOMON, GERALD B. H.	S000675
RUBIO, MARCO	R000595
ROSKAM, PETER J.	R000580
MARRIOTT, DAVID DANIEL	M000143
CARPER, THOMAS R.	C000174
FATTAH, CHAKA	F000043
FITZGERALD, PETER	F000442
HINSON, JON C.	H000641
KILROY, MARY JO	K000372
MELCHER, JOHN	M000635
VALENTINE, TIM	V000006
BEARD, ROBIN	B000280
LEE, MIKE	L000577
ATKINSON, EUGENE V.	A000329
HOWARD, JAMES J.	H000840
BROWDER, GLEN	B000897
HUELSKAMP, TIM	H001057
MOYNIHAN, DANIEL PATRICK	M001054
GALLEGO, PETE P.	G000572
HYDE, HENRY J.	H001022
LEVIN, CARL	L000261
OLSON, PETE	O000168
SANFORD, TERRY	S000055
DAYTON, MARK	D000596
JOHNSON, SAM	J000174
HATCHER, CHARLES	H000340
MARKEY, BETSY	M001172
PRYOR, DAVID H.	P000556
DJOU, CHARLES K.	D000611
MCCOLLUM, BILL	M000350
COOK, PAUL	C001094
TAYLOR, GENE	T000074
DOUGHERTY, CHARLES F.	D000446
HAYAKAWA, SAMUEL ICHIYE	H000384
THOMPSON, MIKE	T000460
COTTON, TOM	C001095
CANNON, HOWARD W.	C000120
HORSFORD, STEVEN	H001066
FUNDERBURK, DAVID	F000426
MURKOWSKI, LISA	M001153
COLLINS, JAMES M.	C000638
KIRK, MARK STEVEN	K000360
BRADY, NICHOLAS	B000756
ADAMS, BROCK	A000031
OBAMA, BARACK	O000167
MURPHY, SCOTT	M001178
COURTER, JIM	C000809
PAYNE, LEWIS F., JR.	P000152
MCCAUL, MICHAEL T.	M001157
ROGERS, MIKE D.	R000575
ELLSWORTH, BRAD	E000289
MCCLINTOCK, TOM	M001177
MANZULLO, DONALD A.	M001138
INHOFE, JAMES M.	I000024
HUNTER, DUNCAN D.	H001048
HALVORSON, DEBORAH L.	H001044
MEEHAN, PATRICK	M001181
LOVE, MIA B.	L000584
STANGELAND, ARLAN	S000795
OWENS, WAYNE	O000156
BLACKBURN, MARSHA	B001243
ZELIFF, WILLIAM H., JR.	Z000004
LEWIS, JERRY	L000274
NUNES, DEVIN	N000181
MARTINEZ, MEL	M001162
DORGAN, BYRON L.	D000432
HERTEL, DENNIS M.	H000547
GREEN, MARK	G000545
WOOLSEY, LYNN C.	W000738
LANDRIEU, MARY L.	L000550
KERNS, BRIAN D.	K000359
NADLER, JERROLD	N000002
SHUSTER, BUD	S000394
SISISKY, NORMAN	S000453
THURMAN, KAREN L.	T000253
BLAZ, BEN G.	B000551
ROBY, MARTHA	R000591
ANDREWS, MICHAEL	A000209
SLATTERY, JIM	S000477
MARCHANT, KENNY	M001158
WALORSKI, JACKIE	W000813
VELAZQUEZ, NYDIA M.	V000081
EVANS, DWIGHT	E000296
GREEN, GENE	G000410
BACHMANN, MICHELE	B001256
GUARINI, FRANK J.	G000511
CHAPPIE, EUGENE A.	C000322
WEBSTER, DANIEL	W000806
PRICE, MELVIN	P000522
JONES, STEPHANIE TUBBS	J000284
YOUNG, DAVID	Y000066
COMSTOCK, BARBARA	C001105
WILSON, JOE	W000795
MCALLISTER, VANCE M.	M001192
WENSTRUP, BRAD R.	W000815
KRUEGER, ROBERT C.	K000333
KASTENMEIER, ROBERT W.	K000020
GARRETT, SCOTT	G000548
JONES, JAMES R.	J000232
KENNEDY, MARK R.	K000358
BARTLETT, STEVE	B000204
DAVIS, GEOFF	D000603
GANSKE, GREG	G000041
ROUZER, DAVID	R000603
HANABUSA, COLLEEN	H001050
GOODLATTE, BOB	G000289
EVANS, BILLY LEE	E000233
LUETKEMEYER, BLAINE	L000569
TAKAI, MARK	T000473
SANTORUM, RICK	S000059
TANCREDO, THOMAS G.	T000458
MAHONEY, TIM	M001164
CLEAVER, EMANUEL	C001061
JOLLY, DAVID W.	J000296
O'ROURKE, BETO	O000170
COLLINS, CHRIS	C001092
SARBANES, JOHN P.	S001168
CUELLAR, HENRY	C001063
HILLEARY, VAN	H000615
SMITH, VIRGINIA	S000622
SKELTON, IKE	S000465
SIMPSON, MICHAEL K.	S001148
PERKINS, CARL C.	P000229
SHAW, E. CLAY, JR.	S000303
QUILLEN, JAMES H. (JIMMY)	Q000013
JOHANNS, MIKE	J000291
DAVIDSON, WARREN	D000626
FOX, JON D.	F000332
CANTWELL, MARIA	C000127
ORTIZ, SOLOMON P.	O000107
DIAZ-BALART, LINCOLN	D000299
GRIFFITH, PARKER	G000557
MCDONALD, LAWRENCE P.	M000413
PASCRELL, BILL, JR.	P000096
SILJANDER, MARK D.	S000409
GUTIERREZ, LUIS V.	G000535
PEPPER, CLAUDE	P000218
SPECTER, ARLEN	S000709
BURDICK, JOYCELYN	B001076
CORRADA, BALTASAR	C000788
KASICH, JOHN R.	K000016
EMERSON, BILL	E000174
SCALISE, STEVE	S001176
CARTER, JOHN R.	C001051
WILLIAMS, HARRISON A., JR.	W000502
ADAMS, ALMA S.	A000370
LOEFFLER, TOM	L000396
TRAFICANT, JAMES A., JR.	T000350
PAULSEN, ERIK	P000594
CHABOT, STEVE	C000266
PICKLE, J. J.	P000328
LEMIEUX, GEORGE S.	L000572
PETERSON, DOUGLAS (PETE)	P000259
GREGG, JUDD	G000445
LARGENT, STEVE	L000096
DAVIS, ARTUR	D000602
DIOGUARDI, JOSEPH J.	D000359
MOORE, GWEN	M001160
GALLEGLY, ELTON	G000021
DOUGLAS, CHUCK	D000451
RYUN, JIM	R000566
GRAHAM, LINDSEY	G000359
GARAMENDI, JOHN	G000559
PETERSON, COLLIN C.	P000258
ROTH, TOBY	R000459
DEUTSCH, PETER	D000275
BROWN, CLARENCE, JR.	B000910
MATSUI, ROBERT T.	M000249
MITCHELL, PARREN J.	M000826
LAXALT, PAUL D.	L000148
CARSON, BRAD	C001044
BLUTE, PETER I.	B000576
HUFFINGTON, MICHAEL	H000912
TURNER, ROBERT L.	T000471
NEAL, STEPHEN L.	N000016
WHITLEY, CHARLES O., SR.	W000419
QUIGLEY, MIKE	Q000023
NYE, GLENN C.	N000183
NEAL, RICHARD E.	N000015
DESANTIS, RON	D000621
HECK, JOSEPH J.	H001055
WAGNER, ANN	W000812
SHANNON, JAMES M.	S000286
MOTTL, RONALD M.	M001044
DINGELL, DEBBIE	D000624
MCCONNELL, MITCH	M000355
MURPHY, TIM	M001151
YOHO, TED S.	Y000065
WALDHOLTZ, ENID GREENE	G000408
DOLE, ROBERT J.	D000401
BOSCHWITZ, RUDY	B000647
ECKERT, FRED J.	E000033
RITTER, DON	R000277
LUNGREN, DANIEL E.	L000517
BEILENSON, ANTHONY C.	B000318
MILLER, CLARENCE E.	M000718
HANSEN, GEORGE V.	H000171
SMITH, LINDA	S000587
CARNAHAN, RUSS	C001060
WILSON, CHARLES	W000570
COPPERSMITH, SAM	C000767
TROTT, DAVID A.	T000475
HERGER, WALLY	H000528
COWAN, WILLIAM M.	C001099
ENYART, WILLIAM L.	E000292
COONS, CHRISTOPHER A.	C001088
LEE, BARBARA	L000551
STARK, FORTNEY PETE	S000810
MFUME, KWEISI	M000687
YODER, KEVIN	Y000063
COLEMAN, RONALD D.	C000621
LABRADOR, RAUL R.	L000573
HOYER, STENY H.	H000874
NUGENT, RICHARD B.	N000185
STRANG, MICHAEL L.	S000991
WYLIE, CHALMERS P.	W000781
BURRIS, ROLAND	B001266
MCNERNEY, JERRY	M001166
SOUDER, MARK E.	S001143
LIEU, TED	L000582
MCGOVERN, JAMES P.	M000312
ANDREWS, ROBERT E.	A000210
MARKEY, EDWARD J.	M000133
STALLINGS, RICHARD H.	S000785
SIMPSON, ALAN K.	S000429
BOUCHER, RICK	B000657
MASSA, ERIC J. J.	M001173
FRANKS, BOB	F000349
RAMSTAD, JIM	R000033
PORTER, JON C.	P000589
EVANS, LANE	E000250
JONES, BEN	J000211
MARINO, TOM	M001179
KANJORSKI, PAUL E.	K000008
SALI, BILL	S001167
LEACH, JAMES A.	L000169
STUTZMAN, MARLIN A.	S001188
MOLLOHAN, ALAN B.	M000844
COLLINS, CARDISS	C000634
HANSEN, JAMES V.	H000172
BOEHNER, JOHN A.	B000589
WEBER, RANDY K., SR.	W000814
PURSELL, CARL D.	P000574
BADHAM, ROBERT E.	B000024
PALLONE, FRANK, JR.	P000034
MINK, PATSY T.	M000797
JEFFERSON, WILLIAM J.	J000070
SCHUETTE, BILL	S000143
CRAPO, MIKE	C000880
STAFFORD, ROBERT T.	S000776
HEINEMAN, FREDERICK K. (FRED)	H000452
AKIN, W. TODD	A000358
ASPIN, LES	A000224
FRENZEL, BILL	F000380
TEJEDA, FRANK	T000113
SHAYS, CHRISTOPHER	S001144
NELLIGAN, JAMES L.	N000027
KIRK, PAUL GRATTAN, JR.	K000374
CARDOZA, DENNIS A.	C001050
LUJAN GRISHAM, MICHELLE	L000580
MONTGOMERY, G. V. (SONNY)	M000865
BENNETT, ROBERT F.	B000382
BABIN, BRIAN	B001291
COX, JOHN W., JR.	C000836
RYAN, PAUL D.	R000570
EDWARDS, CHET	E000063
JONTZ, JIM	J000265
WEAVER, JAMES H.	W000227
MCGRATH, RAYMOND J.	M000458
CAMPBELL, BEN NIGHTHORSE	C000077
RUSH, BOBBY L.	R000515
CLYBURN, JAMES E.	C000537
HOLDEN, TIM	H000712
GLICKMAN, DAN	G000240
BRYANT, JOHN W.	B000997
EHRLICH, ROBERT L., JR.	E000093
FLORES, BILL	F000461
GREEN, S. WILLIAM	G000417
AUSTRIA, STEVE	A000365
BENTSEN, KEN	B000400
PENNY, TIMOTHY J.	P000215
PASHAYAN, CHARLES, JR.	P000097
RAILSBACK, THOMAS F.	R000012
FORSYTHE, EDWIN B.	F000286
DEGETTE, DIANA	D000197
LATHAM, TOM	L000111
DESJARLAIS, SCOTT	D000616
WITTMAN, ROBERT J.	W000804
STATON, DAVID MICHAEL	S000818
